"ລຳດັບ (No.)","ໂມດູນ (Module)","ໜ້າວຽກລະອຽດ (Task Details)","ໄລຍະເວລາ (Duration)","ລະດັບຄວາມສຳຄັນ (Priority)","ສະຖານະ (Status)"
1,"1. ລະບົບສັ່ງຊື້ ແລະ ຊຳລະເງິນ (Ordering & Payment)","ອອກແບບ Database schema ສຳລັບ Orders, Order Items, Payments","3 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
2,"1. ລະບົບສັ່ງຊື້ ແລະ ຊຳລະເງິນ (Ordering & Payment)","ພັດທະນາ API Backend ສຳລັບການຈັດການ Orders & Cart","5 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
3,"1. ລະບົບສັ່ງຊື້ ແລະ ຊຳລະເງິນ (Ordering & Payment)","ເຊື່ອມຕໍ່ກັບ API ຂອງ BCEL OnePay ( generates QR Code)","7 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
4,"1. ລະບົບສັ່ງຊື້ ແລະ ຊຳລະເງິນ (Ordering & Payment)","ພັດທະນາໜ້າຕາເວັບ (Frontend UI) ສຳລັບສັ່ງຊື້ ແລະ ຕິດຕາມສະຖານະອໍເດີ້","5 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
5,"2. ລະບົບສະມາຊິກ ແລະ ສະສົມຄະແນນ (Membership & Points)","ອອກແບບ Database schema ສຳລັບ Members, Points, Redemptions","2 ວັນ","ປານກາງ (Medium)","ລໍຖ້າດຳເນີນການ (Pending)"
6,"2. ລະບົບສະມາຊິກ ແລະ ສະສົມຄະແນນ (Membership & Points)","ພັດທະນາລະບົບລົງທະບຽນ, ລະບົບຄຳນວນຄະແນນອັດຕະໂນມັດ (10,000 Kip = 1 Point)","4 ວັນ","ປານກາງ (Medium)","ລໍຖ້າດຳເນີນການ (Pending)"
7,"2. ລະບົບສະມາຊິກ ແລະ ສະສົມຄະແນນ (Membership & Points)","ອອກແບບ ແລະ ພັດທະນາລະບົບແລກປ່ຽນຂອງລາງວັນ (Redeem rewards catalog)","4 ວັນ","ປານກາງ (Medium)","ລໍຖ້າດຳເນີນການ (Pending)"
8,"3. ລະບົບຈອງໂຕະອອນໄລນ໌ (Table Booking)","ອອກແບບ Database schema ສຳລັບ Tables, Bookings, Time Slots","2 ວັນ","ຕ່ຳ (Low)","ລໍຖ້າດຳເນີນການ (Pending)"
9,"3. ລະບົບຈອງໂຕະອອນໄລນ໌ (Table Booking)","ພັດທະນາ UI ໃຫ້ລູກຄ້າເລືອກສາຂາ, ເລືອກໂຕະ, ແລະ ເວລາທີ່ຕ້ອງການຈອງ","5 ວັນ","ຕ່ຳ (Low)","ລໍຖ້າດຳເນີນການ (Pending)"
10,"3. ລະບົບຈອງໂຕະອອນໄລນ໌ (Table Booking)","ພັດທະນາລະບົບແຈ້ງເຕືອນຜ່ານ Email / SMS ຢືນຢັນການຈອງໂຕະ","3 ວັນ","ຕ່ຳ (Low)","ລໍຖ້າດຳເນີນການ (Pending)"
11,"4. ແອັບມືຖື iOS & Android (Mobile App)","ອອກແບບ UI/UX ທັງໝົດຂອງແອັບ (Figma Mockups)","10 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
12,"4. ແອັບມືຖື iOS & Android (Mobile App)","ພັດທະນາແອັບມືຖືດ້ວຍ Flutter ຫຼື React Native (Cross-platform)","20 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
13,"4. ແອັບມືຖື iOS & Android (Mobile App)","ເຊື່ອມຕໍ່ແອັບມືຖືເຂົ້າກັບ API Backend ຂອງເວັບໄຊ້","10 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
14,"4. ແອັບມືຖື iOS & Android (Mobile App)","ທົດສອບລະບົບ (Beta Testing) ແລະ ແກ້ໄຂບັກ","7 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
15,"4. ແອັບມືຖື iOS & Android (Mobile App)","ສົ່ງແອັບຂຶ້ນ Apple App Store ແລະ Google Play Store","7 ວັນ","ສູງ (High)","ລໍຖ້າດຳເນີນການ (Pending)"
